R,Z,phi,v_parallel,time
1.2,0.0,0.0,149346.37115726148,0.0
1.1999999697452035,0.0014885710947864768,-0.00012078887957600864,149346.37113379256,1e-08
1.1999980073078185,0.002977140800762005,-0.0002415789336733152,149346.37104557102,2e-08
1.1999941126921736,0.004465706618544938,-0.00036237004816227646,149346.3708925964,3.0000000000000004e-08
1.199988285905722,0.005954266048763454,-0.00048316210891220204,149346.37067486832,4e-08
1.1999805269590407,0.007442816592059152,-0.00060395500179145,149346.3703923864,5e-08
1.1999708358658303,0.008931355749090649,-0.000724748612667521,149346.37004515028,6e-08
1.1999592126429155,0.010419881020537173,-0.000845542827407154,149346.3696331597,6.999999999999999e-08
1.1999456573102447,0.011908389907102163,-0.0009663375318764195,149346.36915641432,7.999999999999999e-08
1.1999301698908902,0.013396879909516865,-0.0010871326119408155,149346.36861491392,8.999999999999999e-08
1.1999127504110483,0.014885348528543925,-0.0012079279534653621,149346.36800865826,9.999999999999998e-08
1.1998933989000387,0.01637379326498099,-0.0013287234423146957,149346.36733764713,1.0999999999999998e-07
1.199872115390305,0.017862211619664295,-0.0014495189643531643,149346.36660188038,1.2e-07
1.1998488999174142,0.019350601093472267,-0.001570314405444922,149346.36580135784,1.3e-07
1.199823752520057,0.02083895918732912,-0.001691109651454024,149346.3649360794,1.4e-07
1.199796673240048,0.022327283402208454,-0.0018119045882445208,149346.36400604495,1.5000000000000002e-07
1.199767662122325,0.023815571239136836,-0.0019326991016805537,149346.3630112545,1.6000000000000003e-07
1.199736719214949,0.025303820199197413,-0.0020534930776264487,149346.36195170795,1.7000000000000004e-07
1.1997038445691048,0.026792027783533498,-0.002174286401946812,149346.36082740533,1.8000000000000005e-07
1.1996690382391,0.028280191493352168,-0.0022950789605066246,149346.35963834662,1.9000000000000006e-07
1.199632300282366,0.029768308829927863,-0.0024158706391713366,149346.35838453192,2.0000000000000007e-07
1.1995936307594568,0.03125637729460598,-0.0025366613238069625,149346.3570659613,2.1000000000000008e-07
1.19955302973405,0.03274439438880646,-0.0026574509002801755,149346.35568263484,2.200000000000001e-07
1.1995104972729458,0.034232357614027396,-0.0027782392544584023,149346.3542345527,2.300000000000001e-07
1.1994660334460676,0.035720264471848624,-0.0028990262722099185,149346.35272171505,2.400000000000001e-07
1.1994196383264615,0.03720811246393531,-0.003019811839403943,149346.35114412208,2.500000000000001e-07
1.1993713119902965,0.03869589909204156,-0.0031405958419107316,149346.34950177398,2.600000000000001e-07
1.1993210545168638,0.04018362185801401,-0.0032613781656016744,149346.34779467102,2.700000000000001e-07
1.1992688659885775,0.04167127826379541,-0.0033821586963493884,149346.3460228135,2.800000000000001e-07
1.1992147464909744,0.043158865811428235,-0.0035029373200278118,149346.3441862017,2.9000000000000014e-07
1.1991586961127132,0.04464638200305828,-0.003623713922512301,149346.34228483593,3.0000000000000015e-07
1.199100714945575,0.04613382434093823,-0.003744488389679724,149346.3403187166,3.1000000000000016e-07
1.1990408030844633,0.0476211903274313,-0.003865260607408555,149346.33828784406,3.2000000000000017e-07
1.198978960627403,0.049108477465014774,-0.003986030461578969,149346.33619221873,3.300000000000002e-07
1.1989151876755417,0.050595683256283656,-0.004106797838072939,149346.33403184108,3.400000000000002e-07
1.1988494843331483,0.052082805203954224,-0.004227562622774327,149346.33180671156,3.500000000000002e-07
1.1987818507076136,0.053569840810867644,-0.004348324701568981,149346.32951683068,3.600000000000002e-07
1.1987122869094495,0.055056787579993556,-0.00446908396034483,149346.32716219896,3.700000000000002e-07
1.19864079305229,0.05654364301443368,-0.0045898402849919775,149346.32474281697,3.800000000000002e-07
1.19856736925289,0.0580304046174254,-0.004710593561402797,149346.3222586853,3.9000000000000024e-07
1.1984920156311256,0.05951706989234537,-0.004831343675472028,149346.31970980455,4.0000000000000025e-07
1.1984147323099938,0.06100363634271308,-0.004952090513096869,149346.31709617536,4.1000000000000026e-07
1.198335519415613,0.06249010147219449,-0.005072833960177071,149346.31441779842,4.2000000000000027e-07
1.1982543770772214,0.06397646278460561,-0.0051935739026150365,149346.31167467442,4.300000000000003e-07
1.1981713054271785,0.06546271778391607,-0.0053143102263159105,149346.30886680406,4.400000000000003e-07
1.1980863046009642,0.06694886397425276,-0.005435042817187677,149346.30599418812,4.500000000000003e-07
1.1979993747371784,0.06843489885990336,-0.005555771561141253,149346.30305682737,4.600000000000003e-07
1.1979105159775414,0.06992081994532003,-0.005676496344090586,149346.30005472264,4.700000000000003e-07
1.197819728466893,0.0714066247351229,-0.0057972170519527445,149346.29698787475,4.800000000000003e-07
1.1977270123531933,0.07289231073410372,-0.005917933570648014,149346.29385628458,4.900000000000003e-07
1.197632367787522,0.07437787544722947,-0.0060386457860999955,149346.290659953,5.000000000000003e-07
1.197535794924078,0.0758633163796459,-0.006159353584235696,149346.28739888096,5.100000000000003e-07
1.1974372939201792,0.07734863103668117,-0.006280056850985624,149346.2840730694,5.200000000000003e-07
1.1973368649362632,0.07883381692384943,-0.0064007554722838875,149346.2806825193,5.300000000000003e-07
1.1972345081358864,0.0803188715468544,-0.006521449334068285,149346.27722723168,5.400000000000003e-07
1.1971302236857237,0.08180379241159297,-0.006642138322280401,149346.27370720755,5.500000000000003e-07
1.1970240117555688,0.08328857702415882,-0.006762822322865702,149346.27012244798,5.600000000000004e-07
1.1969158725183335,0.08477322289084598,-0.006883501221773633,149346.26647295407,5.700000000000004e-07
1.196805806150048,0.08625772751815244,-0.007004174904957708,149346.26275872695,5.800000000000004e-07
1.1966938128298603,0.08774208841278375,-0.007124843258375608,149346.25897976776,5.900000000000004e-07
1.1965798927400362,0.08922630308165656,-0.007245506167989274,149346.25513607767,6.000000000000004e-07
1.1964640460659592,0.09071036903190231,-0.007366163519765005,149346.2512276579,6.100000000000004e-07
1.19634627299613,0.09219428377087074,-0.007486815199673548,149346.24725450965,6.200000000000004e-07
1.1962265737221667,0.09367804480613352,-0.007607461093690197,149346.24321663423,6.300000000000004e-07
1.196104948438804,0.09516164964548784,-0.007728101087794887,149346.23911403288,6.400000000000004e-07
1.1959813973438935,0.09664509579696,-0.007848735067972287,149346.23494670694,6.500000000000004e-07
1.1958559206384032,0.09812838076880898,-0.007969362920211895,149346.23071465778,6.600000000000005e-07
1.1957285185264175,0.09961150206953008,-0.008089984530508137,149346.22641788673,6.700000000000005e-07
1.1955991912151367,0.10109445720785849,-0.008210599784860457,149346.22205639523,6.800000000000005e-07
1.195467938914877,0.10257724369277288,-0.008331208569273413,149346.2176301847,6.900000000000005e-07
1.1953347618390704,0.10405985903349897,-0.008451810769756775,149346.21313925658,7.000000000000005e-07
1.1951996601672659,0.10554230073614139,-0.008572406272325613,149346.20846297758,7.100000000000005e-07
1.1950626339485277,0.10702456647623038,-0.008692992715002484,149346.20353349636,7.200000000000005e-07
1.1949236834285388,0.10850665380603816,-0.008813569460682647,149346.1985357592,7.300000000000005e-07
1.1947828088354013,0.10998856023551397,-0.008934136395572896,149346.19347315765,7.400000000000005e-07
1.1946400103992902,0.11147028327481366,-0.009054693405899315,149346.18834569384,7.500000000000005e-07
1.1944952883534945,0.1129518204343659,-0.009175240377903238,149346.18315336996,7.600000000000006e-07
1.1943486429344181,0.11443316922487577,-0.009295777197841347,149346.17789618825,7.700000000000006e-07
1.1942000743815786,0.11591432715732834,-0.00941630375198577,149346.17257415093,7.800000000000006e-07
1.1940495829376074,0.11739529174299229,-0.009536819926624165,149346.16718726026,7.900000000000006e-07
1.1938971688482496,0.11887606049342345,-0.00965732560805982,149346.16173551854,8.000000000000006e-07
1.1937428323623633,0.12035663092046843,-0.009777820682611746,149346.15621892808,8.100000000000006e-07
1.19358657373192,0.12183700053626824,-0.009898305036614765,149346.15063749126,8.200000000000006e-07
1.1934283932120033,0.12331716685326183,-0.010018778556419607,149346.14499121046,8.300000000000006e-07
1.1932682910608097,0.12479712738418969,-0.010139241128393007,149346.13928008807,8.400000000000006e-07
1.1931062675396475,0.1262768796420975,-0.01025969263891779,149346.13350412657,8.500000000000006e-07
1.192942322912937,0.12775642114033964,-0.01038013297439297,149346.1276633284,8.600000000000007e-07
1.1927764574482096,0.12923574939258284,-0.010500562021233837,149346.12175769606,8.700000000000007e-07
1.1926086714161084,0.13071486191280973,-0.010620979665872061,149346.1157872321,8.800000000000007e-07
1.192438965090387,0.1321937562153225,-0.010741385794755776,149346.10975193905,8.900000000000007e-07
1.1922673387479101,0.13367242981474645,-0.010861780294349671,149346.10365181952,9.000000000000007e-07
1.1920937926686523,0.13515088022603355,-0.010982163051135092,149346.0974868761,9.100000000000007e-07
1.1919183271356983,0.1366291049644661,-0.01110253395161013,149346.09125711143,9.200000000000007e-07
1.1917409424352423,0.13810710154566022,-0.011222892882289713,149346.0849625282,9.300000000000007e-07
1.191561638856588,0.1395848674855696,-0.0113432397297057,149346.0786031291,9.400000000000007e-07
1.191380416692148,0.14106240030048897,-0.011463574380406974,149346.0721789169,9.500000000000008e-07
1.1911972762374439,0.1425396975070577,-0.011583896720959537,149346.06568989428,9.600000000000008e-07
1.1910122177911053,0.14401675662226343,-0.0117042066379466,149346.05913606408,9.700000000000007e-07
1.19082524165487,0.14549357516344566,-0.011824504017968676,149346.0525174291,9.800000000000006e-07
1.1906363481335833,0.1469701506482993,-0.011944788747643676,149346.04583399222,9.900000000000005e-07
1.190445537535198,0.14844648059487833,-0.012065060713606995,149346.03908575626,1.0000000000000004e-06
1.1902528101707741,0.14992256252159936,-0.012185319802511613,149346.03227272414,1.0100000000000003e-06
1.1900581663544778,0.15139839394724516,-0.012305565901028182,149346.0253948988,1.0200000000000002e-06
1.189861606403582,0.15287397239096837,-0.012425798895845124,149346.0184522832,1.03e-06
1.1896631306384655,0.15434929537229497,-0.012546018673668715,149346.01144488034,1.04e-06
1.1894627393826125,0.15582436041112796,-0.01266622512122319,149346.00437269322,1.05e-06
1.1892604329626124,0.15729916502775093,-0.012786418125250823,149345.99723572488,1.0599999999999998e-06
1.1890562117081598,0.15877370674283162,-0.012906597572512026,149345.99003397842,1.0699999999999997e-06
