R,Z,phi,vR,vZ,vphi,time
1.2,0.0,0.0,10000.0,150000.0,2000.0,0.0
1.2000094261311902,0.00015003148137929175,2.38802133959435e-06,9426.131190306762,150031.48137929174,2388.02133959435,1e-09
1.2000182632014096,0.00030009254925594125,5.141582244626418e-06,8837.070219358746,150061.06787664947,2753.5609050320672,2e-09
1.2000264969372898,0.000450181256993425,8.237612468387053e-06,8233.73588025219,150088.70773748372,3096.030223760635,3.0000000000000004e-09
1.20003411400721,0.0006002956095856048,1.1652490454624633e-05,7617.069920240538,150114.35259217978,3414.87798623758,4e-09
1.2000411020427344,0.000750433567126821,1.536208138353936e-05,6988.0355245300825,150137.95754121614,3709.5909289147244,5e-09
1.2000474496585003,0.0009005930483610463,1.9341776039698994e-05,6347.6157659454275,150159.4812342253,3979.694656159635,6e-09
1.2000531464705233,0.0010507719343038993,2.3566530439524767e-05,5696.812022942317,150178.88594285288,4224.754399825772,7e-09
1.2000581831128918,0.0012009680719311808,2.8010906154806048e-05,5036.642368493676,150196.1376272816,4444.375715281281,8e-09
1.2000625512528242,0.001351179277927479,3.264911126761259e-05,4368.139932419073,150211.20599629823,4638.205112806537,9.000000000000001e-09
1.200066243604064,0.0015014033424882729,3.745504189098482e-05,3692.351239768228,150224.06456079372,4805.9306233722355,1.0000000000000002e-08
1.200069253938592,0.0016516380331688706,4.2402324188897764e-05,3010.334527905593,150234.69068059768,4947.282297912943,1.1000000000000003e-08
1.200071577096637,0.0018018810987734321,4.746435682821311e-05,2323.1580449753965,150243.06560456153,5062.032639315344,1.2000000000000003e-08
1.2000732089949695,0.001952130273277248,5.261435379465902e-05,1631.8983324547912,150249.17450381594,5149.9969664459095,1.3000000000000004e-08
1.2000741466334641,0.0021023832797753893,5.7825387504308124e-05,937.638494526879,150253.00649814127,5211.033709649106,1.4000000000000005e-08
1.2000743880999212,0.002252637834450791,6.307043214156258e-05,241.4664570253824,150254.55467540192,5245.0446372544575,1.5000000000000005e-08
1.20007393257314,0.002402891650554799,6.832240715430124e-05,-455.5267812814882,150253.81610400818,5251.975012738664,1.6000000000000004e-08
1.2000727803242377,0.0025531424423931815,7.355422083659855e-05,-1152.2489022888112,150250.79183838234,5231.813682297306,1.7000000000000003e-08
1.2000709327162133,0.0027033879293105996,7.873881392928793e-05,-1847.6080242478183,150245.48691741785,5184.59309268938,1.8000000000000002e-08
1.2000683922017565,0.002853625839666533,8.384920316861473e-05,-2540.5144567641337,150237.91035593362,5110.389239326806,1.9e-08
1.2000651623193042,0.003003853914795672,8.885852471330469e-05,-3229.8824523127296,150228.0751291387,5009.321544689958,2e-08
1.2000612476873527,0.0031540699129458064,9.37400773805638e-05,-3914.6319514862043,150215.99815013437,4881.5526672591095,2.1e-08
1.2000566539970334,0.003304271613186301,9.846736562182403e-05,-4593.690319202509,150201.70024049428,4727.288241260233,2.2e-08
